LABEL,Type,Podr_name_lv1,Podr_name_lv0,Manufacturer,Inkasso,Accounting_center,Connection,Model,Placement_lv0,Placement_lv1,Category,Service_lv1,Service_lv0
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,5877,Store,REGFREE,TAK,E,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REG,FIL,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REG,FIL,E,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
2,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,Theonly,SP,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,TAK,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,6632,Store,REGFREE,SHO,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,6632,Store,REGFREE,SHO,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,6632,Store,REGFREE,TAK,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,PS,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,6632,Store,REGFREE,TAK,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,6632,Store,REGFREE,TAK,H,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,6632,Store,REGFREE,TAK,H,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,6632,Store,REGFREE,TAK,H,SBS
4,ATM,L3,VVB,First,Enabled,IZ,Wire,S6622,Store,ER,PRO,H,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,PoB,REGVS24,FIL,E,SBS
0,ATM,Central,VVB,Second,Enabled,SR,Wire,5600,PoB,REGVS24,FIL,ME,SBS
4,ATM,Central,VVB,Second,Enabled,SR,Wire,5600,PoB,REGVS24,FIL,ME,SBS
3,ATM,Central,VVB,Second,Enabled,SR,Wire,5600,PoB,REGVS24,FIL,ME,SBS
3,ATM,Central,VVB,Second,Enabled,SR,Wire,5600,PoB,REGVS24,FIL,ME,SBS
3,ATM,Central,VVB,Second,Enabled,SR,Wire,5600,PoB,REGVS24,FIL,ME,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
4,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
3,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
0,ATM,L2,VVB,First,Enabled,PE,Wire,S6622,Store,REGFREE,SHO,E,SBS
4,ATM,Central,VVB,First,Enabled,NN,Wire,6632,Store,ZAPC,PRO,H,SBS
3,ATM,Central,VVB,First,Enabled,NN,Wire,6632,Store,ZAPC,PRO,H,SBS
0,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
4,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
4,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
3,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
2,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
2,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
2,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
2,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
2,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
2,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
2,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
2,ATM,Central,VVB,First,Enabled,NN,Wire,S6622,Store,ZAPC,PRO,H,SBS
